Название объекта,Цена,Расположение,Район,Количество комнат,Площадь (м²),Дополнительные параметры
Часть дома ,19 500 000 〒,"Алмалинский р-н, Жемчужная — Кулымбетова",Алмалинский,2,34,Floor: 1;  Construction year: 1952
Отдельный дом ,32 500 000 〒,"Алатауский р-н, мкр Карасу, Бабатайулы 48",Алатауский,3,75,Floor: 2;  Construction year: 2015
Отдельный дом ,120 000 000 〒,"Алатауский р-н, мкр Заря Востока, Парасат 23",Алатауский,4,155,Floor: 1;  Construction year: 1999
Отдельный дом ,57 000 000 〒,"Алатауский р-н, мкр Айгерим-2 35 — Шалкар",Алатауский,5,150,Floor: 2;  Construction year: 2010
Отдельный дом ,43 500 000 〒,"Наурызбайский р-н, мкр Акжар 127 — Шпекбаева келембетова",Наурызбайский,3,50,Floor: 1;  Construction year: 1975
Часть дома ,42 000 000 〒,"Турксибский р-н, Читинская 50 — ул гёте",Турксибский,5,100,Floor: 2;  Construction year: 1959
Дача ,5 000 000 〒,2 линия 127 — Чемолганские дачи,,1,15,
Отдельный дом ,83 000 000 〒,"Алмалинский р-н, Тлендиева 151 — Кулымбетова",Алмалинский,3,78.3,Floor: 1;  Construction year: 1993
Отдельный дом ,283 000 000 〒,"Турксибский р-н, Буденного",Турксибский,6,394,Floor: 2;  Construction year: 2014
Отдельный дом ,64 900 000 〒,"Жетысуский р-н, Матросова",Жетысуский,4,152,Floor: 2;  Construction year: 1986
Отдельный дом ,45 000 000 〒,"Алатауский р-н, мкр Томирис, Центральная",Алатауский,4,81,Floor: 1;  Construction year: 1980
Отдельный дом ,60 000 000 〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик)",Бостандыкский,7,150,Floor: 2
Отдельный дом ,65 000 000 〒,"Алатауский р-н, мкр Томирис, Койщыбаева 23 — Халық парк",Алатауский,4,150,Floor: 1;  Construction year: 2014
Отдельный дом ,255 000 000 〒,"Ауэзовский р-н, мкр Дубок (Шабыт) — Жандосова",Ауэзовский,6,255,Floor: 2;  Construction year: 2007
Отдельный дом ,135 000 000 〒,"Бостандыкский р-н, мкр Актобе Назконыр 5а — Ул.Бахадур",Бостандыкский,4,70,Floor: 1;  Construction year: 1971
Отдельный дом ,50 000 000 〒,"Ауэзовский р-н, мкр №11, Солнечная 42 — Жандосова",Ауэзовский,2,24.2,Floor: 1;  Construction year: 1958
Отдельный дом ,66 000 000 〒,"Медеуский р-н, мкр Думан-1, Алтынемел",Медеуский,5,146,Construction year: 2015
Отдельный дом ,48 000 000 〒,"Алатауский р-н, мкр Айгерим-1 6 — Бесторе 6 корпус 1",Алатауский,5,89.1,Floor: 1;  Construction year: 2005
Отдельный дом ,884 000 000 〒,"Медеуский р-н, Керей -Жанибек Хандар 243А — Просвещенец",Медеуский,27,1354,Floor: 3;  Construction year: 2011
Отдельный дом ,100 000 000 〒,"Алатауский р-н, мкр Мадениет",Алатауский,5,190.8,Floor: 1;  Construction year: 2020
Отдельный дом ,105 000 000 〒,"Медеуский р-н, мкр Каменское плато, Ладушкина — По улице Ладушкина возле бывшего госпиталя ВОВ",Медеуский,5,214.9,Floor: 3;  Construction year: 2010
Отдельный дом ,245 000 000 〒,"Ауэзовский р-н, мкр Таугуль-3, Нурмаханова 25 — Угол Султана Бейбарыса",Ауэзовский,7,340,Floor: 2;  Construction year: 2016
Отдельный дом ,85 000 000 〒,"Наурызбайский р-н, мкр Тастыбулак 17 — Жандосова",Наурызбайский,5,420,
Отдельный дом ,300 000 000 〒,"Медеуский р-н, мкр Коктобе, Толе би 58 — ВОАД",Медеуский,7,410,Floor: 3
Отдельный дом ,38 757 480 〒,Акжол 43,,5,101,Floor: 1;  Construction year: 2014
Отдельный дом ,75 000 000 〒,"Турксибский р-н, мкр Кайрат 101 — 3 улица",Турксибский,7,200,Floor: 2;  Construction year: 2005
Отдельный дом ,19 500 000 〒,"Турксибский р-н, Осипенко 25",Турксибский,2,60,Floor: 1;  Construction year: 1934
Отдельный дом ,89 000 000 〒,"Алатауский р-н, мкр Акбулак, Батталова 4",Алатауский,10,270,Floor: 2;  Construction year: 2006
Часть дома ,40 000 000 〒,"Алатауский р-н, мкр Теректы, Мкр. Теректы ул. Орталык",Алатауский,4,95.1,Floor: 1
Отдельный дом ,77 777 777 〒,"Наурызбайский р-н, мкр Таусамалы",Наурызбайский,7,240,Floor: 2;  Construction year: 2006
Отдельный дом ,75 000 000 〒,"Турксибский р-н, Шемякина — Енисейская",Турксибский,5,168,Floor: 2;  Construction year: 1959
Отдельный дом ,500 000 000 〒,"Бостандыкский р-н, Микрорайон Нурлытау 102",Бостандыкский,9,450,Floor: 3;  Construction year: 2014
Отдельный дом ,34 000 000 〒,"Жетысуский р-н, мкр Айнабулак-3, Бурундайская 187В",Жетысуский,4,88.4,Floor: 1;  Construction year: 1971
Отдельный дом ,45 000 000 〒,"Турксибский р-н, Ержанова 89Б",Турксибский,4,90,Floor: 1;  Construction year: 2006
Отдельный дом ,431 500 000 〒,"Бостандыкский р-н, мкр Нур Алатау",Бостандыкский,9,540,Floor: 3;  Construction year: 2023
Отдельный дом ,70 000 000 〒,"Наурызбайский р-н, мкр Акжар, Алтын Алма",Наурызбайский,6,300,Floor: 2;  Construction year: 2007
Отдельный дом ,95 000 000 〒,"Бостандыкский р-н, мкр Нур Алатау, Б Шукенова 20",Бостандыкский,4,78,
Отдельный дом ,69 000 000 〒,"Алатауский р-н, мкр Мадениет 17",Алатауский,5,130,Floor: 1;  Construction year: 2020
Отдельный дом ,190 000 000 〒,"Бостандыкский р-н, Чернова",Бостандыкский,4,135,Floor: 2;  Construction year: 2015
Отдельный дом ,95 000 000 〒,"Алатауский р-н, мкр Акбулак 38/24",Алатауский,6,192,Floor: 2;  Construction year: 2014
Дача ,11 100 000 〒,"Бостандыкский р-н, Обсерватория",Бостандыкский,1,10,Floor: 1;  Construction year: 1966
Часть дома ,16 900 000 〒,"Турксибский р-н, Федосеева 33",Турксибский,2,40,Floor: 1;  Construction year: 1963
Отдельный дом ,120 000 000 〒,"Наурызбайский р-н, мкр Шугыла, Жунисова 133",Наурызбайский,6,295,Floor: 2;  Construction year: 2015
Отдельный дом ,65 000 000 〒,"Алатауский р-н, мкр Айгерим-2",Алатауский,6,182,Floor: 1;  Construction year: 2023
Отдельный дом ,60 000 000 〒,"Наурызбайский р-н, мкр Акжар 131",Наурызбайский,4,110,Floor: 1;  Construction year: 2007
Отдельный дом ,85 000 000 〒,"Алатауский р-н, мкр Теректы, Ул, Таусоғар 40",Алатауский,4,170,Construction year: 2007
Отдельный дом ,570 000 000 〒,"Медеуский р-н, Ондасынова 1В",Медеуский,8,678,Floor: 3;  Construction year: 2010
Отдельный дом ,88 000 000 〒,"Алатауский р-н, Галиевой",Алатауский,5,250,Floor: 2;  Construction year: 2013
Отдельный дом ,270 000 000 〒,"Медеуский р-н, мкр Тау Самал, Алгыс 16 — Достык | Royal Tulip | р. Весновка",Медеуский,7,430,Floor: 3;  Construction year: 2008
Отдельный дом ,120 000 000 〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик) 197",Бостандыкский,8,250,Floor: 2;  Construction year: 2023
Отдельный дом ,166 000 000 〒,"Медеуский р-н, мкр Каменское плато 52",Медеуский,8,202,Floor: 1;  Construction year: 2021
Отдельный дом ,120 000 000 〒,"Медеуский р-н, мкр Думан-2, Каркаралы 76",Медеуский,5,155,Floor: 2;  Construction year: 2014
Отдельный дом ,80 000 000 〒,"Наурызбайский р-н, мкр Карагайлы, Жумбактас 24 — Надырова",Наурызбайский,6,350,Floor: 2;  Construction year: 2017
Отдельный дом ,30 000 000 〒,"Турксибский р-н, Петрозаводская",Турксибский,3,60,Floor: 1;  Construction year: 1956
Отдельный дом ,120 000 000 〒,"Ауэзовский р-н, мкр Достык",Ауэзовский,4,100,
Отдельный дом ,90 000 000 〒,"Турксибский р-н, мкр Кайрат — Находится за  рынком Семиречье",Турксибский,4,180,Floor: 2;  Construction year: 2021
Отдельный дом ,68 000 000 〒,"Ауэзовский р-н, мкр Достык, Ұлағат 22 — Абая/Яссауи",Ауэзовский,7,140,Floor: 2;  Construction year: 1973
Часть дома ,45 000 000 〒,"Турксибский р-н, ул. Сокольского 105 — Уг. Чигорина",Турксибский,3,70,Floor: 1;  Construction year: 1960
Отдельный дом ,395 000 000 〒,"Наурызбайский р-н, Егора Редько 78",Наурызбайский,10,800,Floor: 4;  Construction year: 2011
Отдельный дом ,110 000 000 〒,"Наурызбайский р-н, мкр Каргалы, Кенесары Хана 79",Наурызбайский,5,132,Floor: 1;  Construction year: 2005
Часть дома ,22 000 000 〒,"Турксибский р-н, Сейфуллина 155",Турксибский,2,45,Floor: 1;  Construction year: 1980
Отдельный дом ,65 000 000 〒,"Жетысуский р-н, Кыдырбекулы 48 — Баян аульской",Жетысуский,5,119,Floor: 1;  Construction year: 1983
Часть дома ,63 000 000 〒,"Медеуский р-н, Байтасова 2а — Сергея Луганского",Медеуский,4,85,Floor: 2;  Construction year: 1960
Отдельный дом ,125 000 000 〒,"Медеуский р-н, Байтасова 2а — Луганского",Медеуский,8,170,Floor: 2;  Construction year: 1960
Отдельный дом ,40 000 000 〒,"Турксибский р-н, Шемякина — Қызылординская",Турксибский,5,85,Construction year: 1960
Отдельный дом ,166 000 000 〒,"Медеуский р-н, Каменское плато 52",Медеуский,8,202,Floor: 1
Отдельный дом ,59 000 000 〒,"Медеуский р-н, мкр Коктобе, Бигельдинова 46",Медеуский,3,95,Floor: 2
Отдельный дом ,78 000 000 〒,"Жетысуский р-н, Якира 34",Жетысуский,5,200,Floor: 3;  Construction year: 1975
Отдельный дом ,95 000 000 〒,"Ауэзовский р-н, мкр Достык 8 — Терме Виноградова уголовой дом",Ауэзовский,6,240,Floor: 1;  Construction year: 2000
Отдельный дом ,21 000 000 〒,Набережная 33,,5,100,Floor: 2;  Construction year: 2022
Отдельный дом ,40 500 000 〒,"Медеуский р-н, Полевая 39/4 — Овражная",Медеуский,4,150,Floor: 2;  Construction year: 2001
Отдельный дом ,160 000 000 〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик)",Бостандыкский,4,111,Floor: 2;  Construction year: 2013
Отдельный дом ,28 000 000 〒,"Жетысуский р-н, Волочаевская 331 — Рыскулова",Жетысуский,5,120,Floor: 2;  Construction year: 1956
Часть дома ,35 000 000 〒,"Турксибский р-н, Бекмаханова 5 — Бекмаханова Спасская",Турксибский,4,77,Floor: 1
Отдельный дом ,123 000 000 〒,"Наурызбайский р-н, мкр Акжар, Ынталы 15",Наурызбайский,5,320,Floor: 2;  Construction year: 2010
Дача ,15 500 000 〒,"Наурызбайский р-н, Грушевая 258 — Алма",Наурызбайский,4,170,Floor: 2;  Construction year: 1980
Отдельный дом ,200 000 000 〒,"Медеуский р-н, мкр Думан-1, Думан-1, ул.Хан-Тенгри,6/2 6/2",Медеуский,4,150,Floor: 2;  Construction year: 2007
Часть дома ,32 000 000 〒,"Турксибский р-н, Пугачева 9/8 — Сейфулина",Турксибский,4,145,Floor: 1;  Construction year: 1971
Часть дома ,70 000 000 〒,"Медеуский р-н, мкр Кольсай, Койгелді батыр 34 — Ленина или восточка",Медеуский,5,100,Floor: 1;  Construction year: 1997
Отдельный дом ,140 000 000 〒,"Алатауский р-н, мкр Заря Востока, Уйгурская",Алатауский,7,600,Floor: 2;  Construction year: 2007
Отдельный дом ,166 000 000 〒,"Медеуский р-н, мкр Каменское плато 52",Медеуский,8,202,Floor: 1;  Construction year: 2021
Отдельный дом ,65 000 000 〒,"Алатауский р-н, мкр Айгерим-2 49",Алатауский,5,158.3,Floor: 2;  Construction year: 2007
Отдельный дом ,120 000 000 〒,"Наурызбайский р-н, мкр Тастыбулак, Наука 137 — Верхняя Жандосова",Наурызбайский,9,370,Floor: 3;  Construction year: 2014
Часть дома ,26 500 000 〒,"Медеуский р-н, Верненская 54 — Истомина",Медеуский,4,111,Floor: 2;  Construction year: 2014
Отдельный дом ,120 000 000 〒,"Наурызбайский р-н, мкр Карагайлы — Кали Надырова",Наурызбайский,6,600,Floor: 3;  Construction year: 2014
Отдельный дом ,31 000 000 〒,"Жетысуский р-н, мкр Кулагер, Шемякина-рыскулова 113 — Шемякина-рыскулова",Жетысуский,6,107,Floor: 1;  Construction year: 1970
Дача ,18 000 000 〒,"Алатауский р-н, мкр Алгабас",Алатауский,3,50,Floor: 1;  Construction year: 2013
Отдельный дом ,120 000 000 〒,"Медеуский р-н, Шухова 15",Медеуский,5,220,Floor: 2;  Construction year: 2011
Отдельный дом ,105 000 000 〒,"Турксибский р-н, мкр Маяк, ПК Им Кунаева — Маяк",Турксибский,6,257,Floor: 1;  Construction year: 2022
Отдельный дом ,80 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2",Наурызбайский,4,100,Floor: 1;  Construction year: 1999
Отдельный дом ,125 555 555 〒,"Турксибский р-н, Хмельницкого 12",Турксибский,14,385,Floor: 2;  Construction year: 2022
Отдельный дом ,23 400 000 〒,"Алатауский р-н, Жетысайская 294 — Бакадпен Раймбек қиылысында",Алатауский,5,210,Floor: 1;  Construction year: 2024
Отдельный дом ,180 000 000 〒,"Турксибский р-н, Герцена — Рыскулова",Турксибский,7,450,Floor: 4;  Construction year: 2022
Отдельный дом ,247 000 000 〒,"Алатауский р-н, мкр Акбулак",Алатауский,5,300,Floor: 2;  Construction year: 2023
Отдельный дом ,160 000 000 〒,"Медеуский р-н, Чаплина 88 — Халиуллина",Медеуский,7,400,Floor: 3;  Construction year: 2000
Отдельный дом ,265 000 000 〒,"Медеуский р-н, мкр Горный Гигант 36 — Искендерова",Медеуский,4,100,Floor: 1;  Construction year: 1980
Отдельный дом ,68 900 000 〒,"Алатауский р-н, мкр Айгерим-1, ул Саги Ашимова 39",Алатауский,7,260,Floor: 2;  Construction year: 1985
Отдельный дом ,32 500 000 〒,"Медеуский р-н, мкр Кенсай, Мустафы Шокая — Кенсай",Медеуский,4,110,Floor: 1;  Construction year: 2009
Отдельный дом ,145 000 000 〒,"Алатауский р-н, мкр Акбулак",Алатауский,9,520,Floor: 4;  Construction year: 2011
Отдельный дом ,17 000 000 〒,"Медеуский р-н, Речка-Казачка — Целиноградская",Медеуский,2,52,Floor: 1
Отдельный дом ,305 000 000 〒,"Медеуский р-н, Сырдарьинская",Медеуский,6,300,Floor: 2;  Construction year: 2023
Отдельный дом ,199 000 000 〒,"Бостандыкский р-н, мкр Ерменсай, Бахтыгереева 62",Бостандыкский,3,150,Floor: 2;  Construction year: 2023
Отдельный дом ,110 000 000 〒,"Наурызбайский р-н, мкр Шугыла, Жуалы 103",Наурызбайский,8,570,Floor: 3;  Construction year: 2024
Отдельный дом ,98 000 000 〒,"Наурызбайский р-н, мкр Карагайлы 18 — Жумбактас",Наурызбайский,8,320,Floor: 2;  Construction year: 1970
Отдельный дом ,123 500 000 〒,"Наурызбайский р-н, Ынталы 15",Наурызбайский,5,320,Floor: 2;  Construction year: 2010
Отдельный дом ,130 000 000 〒,"Наурызбайский р-н, мкр Тастыбулак",Наурызбайский,7,240,Floor: 3;  Construction year: 2006
Отдельный дом ,87 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Тыныбаева",Наурызбайский,6,230,Floor: 2;  Construction year: 2007
Отдельный дом ,100 000 000 〒,"Алатауский р-н, мкр АДК, Ахрименко 51 — Есенина",Алатауский,5,140.9,Floor: 1;  Construction year: 1981
Отдельный дом ,250 000 000 〒,"Медеуский р-н, мкр Горный Гигант, Жиенкулова 5 — Назарбаева",Медеуский,4,70,Floor: 1;  Construction year: 2000
Отдельный дом ,61 500 000 〒,"Алатауский р-н, мкр Акбулак, Мкр Акбулак, ул. Қалжан Нұрмаханова 22 — Алматы Арена",Алатауский,3,60,Floor: 1;  Construction year: 2015
Отдельный дом ,50 000 000 〒,"Ауэзовский р-н, Владимира Талаконникова 63 — Лазарева",Ауэзовский,4,64,Floor: 1;  Construction year: 2005
Отдельный дом ,70 000 000 〒,"Алатауский р-н, Федченко 21",Алатауский,3,90,Floor: 1
Часть дома ,20 000 000 〒,"Турксибский р-н, Земнухова 14",Турксибский,3,42,Floor: 1;  Construction year: 1956
Отдельный дом ,140 000 000 〒,"Медеуский р-н, Оспанова 160/5",Медеуский,8,200,Floor: 2;  Construction year: 2007
Отдельный дом ,105 000 000 〒,"Алатауский р-н, мкр Байбесик, Ул.Байдибек би 23",Алатауский,4,137,Floor: 1;  Construction year: 2016
Отдельный дом ,250 000 000 〒,"Бостандыкский р-н, 14",Бостандыкский,4,605,Floor: 3;  Construction year: 2015
Дача ,12 000 000 〒,"Медеуский р-н, мкр Кенсай, Елисеева — СТ Сталь 26",Медеуский,2,25,Construction year: 1988
Отдельный дом ,789 000 000 〒,"Медеуский р-н, мкр Юбилейный, Касыма кайсенова — Ондасынова",Медеуский,8,870,Floor: 3
Отдельный дом ,57 000 000 〒,"Медеуский р-н, мкр Коктобе, Кумай 11a",Медеуский,5,90,Floor: 1;  Construction year: 1964
Отдельный дом ,150 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Нурпеисова",Наурызбайский,5,220,Floor: 2;  Construction year: 2005
Часть дома ,30 000 000 〒,"Турксибский р-н, Костромская 63/2",Турксибский,4,73,Floor: 1
Отдельный дом ,20 000 000 〒,"Медеуский р-н, мкр Кенсай 9 — Садоводческое товарищество УКС Горисполком 9",Медеуский,2,53,Floor: 1;  Construction year: 2017
Отдельный дом ,60 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Сыпатай батыра 28",Наурызбайский,4,140,Construction year: 1999
Отдельный дом ,35 000 000 〒,"Алатауский р-н, 9-Января 10",Алатауский,5,75,Floor: 1;  Construction year: 1998
Часть дома ,140 000 000 〒,"Медеуский р-н, мкр Коктобе, Бигельдинова 23 — Толе би - Аль ВОАД",Медеуский,3,90,Floor: 2;  Construction year: 1985
Отдельный дом ,30 000 000 〒,"Турксибский р-н, мкр Жас Канат 185",Турксибский,2,40,Floor: 1;  Construction year: 2011
Отдельный дом ,1 200 000 000 〒,"Медеуский р-н, мкр Горный Гигант",Медеуский,20,1760,Floor: 4;  Construction year: 2008
Отдельный дом ,120 000 000 〒,"Ауэзовский р-н, Каргалинская 196",Ауэзовский,5,164,Floor: 1
Отдельный дом ,1 575 000 000 〒,"Медеуский р-н, мкр Горный Гигант, Иванилова",Медеуский,10,1820,Floor: 3;  Construction year: 2023
Отдельный дом ,180 000 000 〒,"Медеуский р-н, мкр Юбилейный — Кайсенова",Медеуский,5,450,Floor: 3;  Construction year: 2017
Отдельный дом ,187 000 000 〒,"Ауэзовский р-н, мкр Таугуль-3 19 — Шаймерденова - Кыстауова",Ауэзовский,4,100,Floor: 2;  Construction year: 2000
Отдельный дом ,63 000 000 〒,"Жетысуский р-н, Кылкобыз 46 — Туркментская, Вокзал Алматы-2",Жетысуский,4,118,Floor: 2;  Construction year: 1967
Отдельный дом ,430 000 000 〒,"Медеуский р-н, Исатай Тайманова 222В",Медеуский,7,500,Floor: 3;  Construction year: 2005
Отдельный дом ,90 000 000 〒,"Наурызбайский р-н, мкр Шугыла, Мкр Шугыла Аширбек Сыгай 28",Наурызбайский,6,190,Floor: 2
Отдельный дом ,165 000 000 〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик) 212 — Роза Жаманова",Бостандыкский,6,404.6,Floor: 2;  Construction year: 2014
Отдельный дом ,60 000 000 〒,"Алатауский р-н, мкр Карасу 15",Алатауский,4,110,Floor: 2;  Construction year: 2013
Отдельный дом ,70 000 000 〒,"Турксибский р-н, мкр Алтай-1",Турксибский,5,130,Floor: 1;  Construction year: 1998
Отдельный дом ,95 000 000 〒,"Бостандыкский р-н, мкр Баганашыл",Бостандыкский,4,200,Floor: 2
Отдельный дом ,200 000 000 〒,"Бостандыкский р-н, мкр Баганашыл, Мкр Баганашыл, Жангир-Хана — Алмалы",Бостандыкский,8,260,Floor: 2
Отдельный дом ,120 000 000 〒,"Ауэзовский р-н, мкр Алмас, Жандосова — Яссауи",Ауэзовский,5,220,
Отдельный дом ,150 000 000 〒,Шаляпина — Яссауи,,7,200,Floor: 2;  Construction year: 2011
Отдельный дом ,50 000 000 〒,"Алатауский р-н, мкр Карасу, ул Смакова 16 16",Алатауский,5,90,Floor: 1;  Construction year: 2003
Дача ,26 000 000 〒,"Медеуский р-н, мкр Кенсай",Медеуский,2,33,Floor: Продается
Отдельный дом ,34 500 000 〒,"Жана куат, 24 улица 412а",,3,90,Floor: 2;  Construction year: 2018
Отдельный дом ,600 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2 — Смаилова",Наурызбайский,7,700,Floor: 2;  Construction year: 2011
Отдельный дом ,150 000 000 〒,"Наурызбайский р-н, Жандосова",Наурызбайский,7,550,Floor: 3
Отдельный дом ,250 000 000 〒,"Ауэзовский р-н, мкр Мамыр-4 — Абая- Саина",Ауэзовский,8,305,Construction year: 2009
Отдельный дом ,230 000 000 〒,"Наурызбайский р-н, Достык — Сабденова",Наурызбайский,6,450,Floor: 2;  Construction year: 2015
Отдельный дом ,2 275 000 000 〒,"Бостандыкский р-н, Дулати — 1 улица",Бостандыкский,15,1140,Floor: 2;  Construction year: 2022
Отдельный дом ,13 900 000 〒,"Медеуский р-н, мкр Кенсай",Медеуский,3,38,
Отдельный дом ,135 000 000 〒,"Алатауский р-н, мкр Заря Востока",Алатауский,8,400,Floor: 2;  Construction year: 2000
Отдельный дом ,62 000 000 〒,"Алатауский р-н, мкр Акбулак, Мамутова 19/3",Алатауский,3,80,Floor: 1;  Construction year: 2000
Отдельный дом ,145 000 000 〒,"Медеуский р-н, мкр Коктобе, Розы Баглановой 68",Медеуский,6,170,Floor: 1
Отдельный дом ,399 000 000 〒,"Наурызбайский р-н, мкр Тастыбулак, Алексей Хегай 51 — Чингиза Айтматова",Наурызбайский,8,650,Floor: 4;  Construction year: 2018
Отдельный дом ,89 000 000 〒,"Наурызбайский р-н, мкр Таусамалы, Акбата 76/3 — Жандосова Ашимова",Наурызбайский,5,162,Floor: 2;  Construction year: 2023
Отдельный дом ,90 000 000 〒,"Медеуский р-н, мкр Думан-1, Казыгурт 46 — Акмешит",Медеуский,5,134.6,Floor: 2;  Construction year: 2006
Отдельный дом ,177 000 000 〒,"Медеуский р-н, Мангистауская 18",Медеуский,4,250.5,Floor: 3;  Construction year: 2022
Отдельный дом ,285 000 000 〒,"Наурызбайский р-н, мкр Тастыбулак, Алексей Хегай 51 — Чингиза Айтматова",Наурызбайский,8,650,Floor: 4;  Construction year: 2018
Отдельный дом ,285 000 000 〒,"Наурызбайский р-н, мкр Таусамалы, Алексей Хегай 51 — Чингиза Айтматова",Наурызбайский,8,650,Floor: 4;  Construction year: 2018
Отдельный дом ,12 000 000 〒,"Алатауский р-н, мкр Алгабас, Энергостраитель 100 — Возле ТЭЦ",Алатауский,3,100,
Отдельный дом ,190 000 000 〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик)",Бостандыкский,5,300,Floor: 3;  Construction year: 2013
Отдельный дом ,1 835 210 500 〒,"Медеуский р-н, Оспанова — Достык (Ленина)",Медеуский,6,676.6,Floor: 3;  Construction year: 2023
Отдельный дом ,1 110 835 200 〒,"Медеуский р-н, Оспанова — Достык (Ленина)",Медеуский,5,409.6,Floor: 3;  Construction year: 2023
Отдельный дом ,40 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2 140 — Жакаева",Наурызбайский,3,80,Floor: 1;  Construction year: 2003
Отдельный дом ,65 000 000 〒,"Алатауский р-н, мкр Ожет 22",Алатауский,5,250,Floor: 2;  Construction year: 1987
Часть дома ,52 000 000 〒,"Медеуский р-н, Переулок Горный",Медеуский,3,68.1,Floor: 1;  Construction year: 2008
Отдельный дом ,80 000 000 〒,"Наурызбайский р-н, мкр Таусамалы, Пкст сервис 90",Наурызбайский,6,216,Floor: 2;  Construction year: 2020
Отдельный дом ,55 000 000 〒,"Жетысуский р-н, Потанина 92",Жетысуский,4,68,Floor: 1
Отдельный дом ,20 000 000 〒,Уалихановтың 35,,6,120,Floor: 1;  Construction year: 2023
Отдельный дом ,99 000 000 〒,"Алатауский р-н, мкр Улжан-1 — Такежанова/ вдоль БАКа",Алатауский,6,299,Floor: 2;  Construction year: 2000
Отдельный дом ,48 000 000 〒,"Алатауский р-н, мкр Шанырак-2 82 — Каракемер",Алатауский,3,54,Floor: 1;  Construction year: 2008
Отдельный дом ,80 000 000 〒,"Алатауский р-н, мкр Мадениет 26 — Тайсауырын",Алатауский,7,300,Floor: 2;  Construction year: 2016
Дача ,22 000 000 〒,"Наурызбайский р-н, мкр Каргалы, Грушевая 242",Наурызбайский,3,40,
Отдельный дом ,59 000 000 〒,"Алатауский р-н, мкр Шанырак-2 430 — Жанқажа батыр 430",Алатауский,3,900,Floor: 1;  Construction year: 2012
Часть дома ,35 000 000 〒,"Ауэзовский р-н, мкр Таугуль",Ауэзовский,3,72,Floor: 1;  Construction year: 1956
Отдельный дом ,316 000 000 〒,"Медеуский р-н, Таттимбета 154",Медеуский,6,506,Floor: 4;  Construction year: 2022
Отдельный дом ,108 000 000 〒,"Алатауский р-н, мкр Заря Востока, Уйгурская 49",Алатауский,3,125,Construction year: 2002
Отдельный дом ,110 000 000 〒,"Ауэзовский р-н, мкр Акбулак",Ауэзовский,3,116,Construction year: 2002
Отдельный дом ,38 500 000 〒,"Медеуский р-н, мкр Коктобе 78 — Ж.Омарова",Медеуский,3,30,Floor: 1
Отдельный дом ,75 000 000 〒,"Алатауский р-н, мкр Улжан-1 49 — Куренкулак",Алатауский,5,140,Floor: 1;  Construction year: 2000
Отдельный дом ,33 000 000 〒,"Ауэзовский р-н, мкр №11, Солнечная 52б",Ауэзовский,3,78.7,Floor: 1;  Construction year: 2004
Отдельный дом ,38 000 000 〒,"Медеуский р-н, Гурилева 44 — Титова",Медеуский,5,99.4,Floor: 2;  Construction year: 1917
Часть дома ,30 500 000 〒,"Алмалинский р-н, мкр Тастак-2 181 — Тургут Озала и Шакарима",Алмалинский,4,109,Floor: 2;  Construction year: 1980
Часть дома ,15 500 000 〒,"Алатауский р-н, ул Тимофеева 41",Алатауский,2,32,Floor: 1;  Construction year: 1965
Отдельный дом ,68 000 000 〒,"Наурызбайский р-н, мкр Каргалы 31/2",Наурызбайский,4,82,Floor: 1
Отдельный дом ,299 000 000 〒,"Бостандыкский р-н, мкр Ерменсай 31а — Вишнёвая",Бостандыкский,10,770,Floor: 4;  Construction year: 2023
Отдельный дом ,38 500 000 〒,"Медеуский р-н, Речка казачка 3 — ул Иштван Коныр",Медеуский,4,68,Floor: 1;  Construction year: 2006
Отдельный дом ,350 000 000 〒,"Бостандыкский р-н, мкр Хан Тенгри, Мкр.Каргалы — Байгазы",Бостандыкский,10,460,Floor: 3
Отдельный дом ,60 000 000 〒,"Алатауский р-н, мкр Теректы",Алатауский,4,120,Floor: 2;  Construction year: 2015
Отдельный дом ,220 000 000 〒,"Наурызбайский р-н, мкр Карагайлы 2/1 — Ер-Косай",Наурызбайский,6,403,Floor: 2;  Construction year: 2016
Отдельный дом ,204 000 000 〒,"Ауэзовский р-н, мкр Мамыр-4 154",Ауэзовский,6,390.5,Floor: 2;  Construction year: 2005
Отдельный дом ,115 500 000 〒,"Бостандыкский р-н, Мкр Дарын-1 7 — Жилой комплекс ""Hyde Park""  рядом расположен",Бостандыкский,6,258.6,Floor: 2;  Construction year: 2004
Отдельный дом ,1 000 000 000 〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик)",Бостандыкский,5,500,Construction year: 2022
Отдельный дом ,6 500 000 〒,"Медеуский р-н, Высокогорное 100",Медеуский,2,43,Floor: 1;  Construction year: 1960
Часть дома ,75 000 000 〒,"Наурызбайский р-н, мкр Таусамалы 5/3 — Школа 187",Наурызбайский,4,80,Floor: 1;  Construction year: 2014
